dataset,matching table candidates selection method,P,Recall,f1
imdb-sakila,LLM Selection,1.0,0.92,0.96
omop-cms,LLM Selection,0.57,0.53,0.55
cprd_aurum-omop,LLM Selection,0.34,0.69,0.45
cprd_gold-omop,LLM Selection,0.28,0.62,0.39
mimic_iii-omop,LLM Selection,0.48,0.76,0.59
imdb-sakila,Vector Similarity (column to table),0.85,0.61,0.71
omop-cms,Vector Similarity (column to table),0.76,0.55,0.64
cprd_aurum-omop,Vector Similarity (column to table),0.07,0.25,0.11
cprd_gold-omop,Vector Similarity (column to table),0.01,0.07,0.02
mimic_iii-omop,Vector Similarity (column to table),0.18,0.7,0.29
